id;text1;text2;feedback;start;stop
N.1;How many drivers in the US are texting right now?;200,000 (Comfort,2020,p. 35);0;0;0
N.2;How many breaths does a human take in a lifetime?;3x10^8 (Comfort,2020,p. 41);0;0;0
